,zip_code,month,year,customer_class,combined,total_customers,total_Thm,average_Thm
0,92304,1,2013,Gas- Commercial,Y,0,0,
1,92365,1,2013,Gas- Commercial,Y,0,0,
2,93203,1,2013,Gas- Commercial,Y,0,0,
3,93204,1,2013,Gas- Commercial,Y,224,68819,307.0
4,93210,1,2013,Gas- Commercial,Y,0,0,
5,93224,1,2013,Gas- Commercial,Y,0,0,
6,93234,1,2013,Gas- Commercial,Y,0,0,
7,93239,1,2013,Gas- Commercial,Y,0,0,
8,93252,1,2013,Gas- Commercial,Y,0,0,
9,93263,1,2013,Gas- Commercial,Y,0,0,
10,93268,1,2013,Gas- Commercial,Y,271,57114,211.0
11,93280,1,2013,Gas- Commercial,Y,0,0,
12,93301,1,2013,Gas- Commercial,N,1221,399794,327.0
13,93304,1,2013,Gas- Commercial,N,628,183385,292.0
14,93305,1,2013,Gas- Commercial,N,522,186245,357.0
15,93306,1,2013,Gas- Commercial,N,342,178821,523.0
16,93307,1,2013,Gas- Commercial,Y,639,296061,463.0
17,93308,1,2013,Gas- Commercial,Y,500,186996,374.0
18,93309,1,2013,Gas- Commercial,N,401,165845,414.0
19,93311,1,2013,Gas- Commercial,Y,0,0,
20,93313,1,2013,Gas- Commercial,Y,513,244877,477.0
21,93314,1,2013,Gas- Commercial,Y,0,0,
22,93432,1,2013,Gas- Commercial,Y,0,0,
23,93446,1,2013,Gas- Commercial,Y,0,0,
24,93450,1,2013,Gas- Commercial,Y,0,0,
25,93461,1,2013,Gas- Commercial,Y,0,0,
26,93516,1,2013,Gas- Commercial,Y,0,0,
27,93523,1,2013,Gas- Commercial,Y,0,0,
28,93555,1,2013,Gas- Commercial,Y,648,223240,345.0
29,93561,1,2013,Gas- Commercial,Y,0,0,
30,93562,1,2013,Gas- Commercial,Y,0,0,
31,93608,1,2013,Gas- Commercial,Y,0,0,
32,93610,1,2013,Gas- Commercial,N,181,54940,304.0
33,93611,1,2013,Gas- Commercial,Y,0,0,
34,93612,1,2013,Gas- Commercial,Y,1234,461035,374.0
35,93616,1,2013,Gas- Commercial,Y,0,0,
36,93619,1,2013,Gas- Commercial,Y,0,0,
37,93620,1,2013,Gas- Commercial,Y,0,0,
38,93622,1,2013,Gas- Commercial,Y,0,0,
39,93625,1,2013,Gas- Commercial,Y,0,0,
40,93627,1,2013,Gas- Commercial,Y,0,0,
41,93630,1,2013,Gas- Commercial,Y,198,74542,376.0
42,93631,1,2013,Gas- Commercial,Y,0,0,
43,93635,1,2013,Gas- Commercial,N,409,145254,355.0
44,93636,1,2013,Gas- Commercial,Y,0,0,
45,93637,1,2013,Gas- Commercial,Y,794,396691,500.0
46,93638,1,2013,Gas- Commercial,N,281,101793,362.0
47,93640,1,2013,Gas- Commercial,Y,0,0,
48,93650,1,2013,Gas- Commercial,N,124,41235,333.0
49,93657,1,2013,Gas- Commercial,Y,0,0,
50,93660,1,2013,Gas- Commercial,Y,0,0,
51,93662,1,2013,Gas- Commercial,Y,774,413092,534.0
52,93668,1,2013,Gas- Commercial,Y,0,0,
53,93701,1,2013,Gas- Commercial,Y,0,0,
54,93702,1,2013,Gas- Commercial,N,420,111386,265.0
55,93703,1,2013,Gas- Commercial,N,595,155400,261.0
56,93704,1,2013,Gas- Commercial,Y,0,0,
57,93705,1,2013,Gas- Commercial,Y,0,0,
58,93706,1,2013,Gas- Commercial,N,594,379797,639.0
59,93710,1,2013,Gas- Commercial,N,860,351665,409.0
60,93711,1,2013,Gas- Commercial,Y,1147,305287,266.0
61,93720,1,2013,Gas- Commercial,Y,943,403355,428.0
62,93721,1,2013,Gas- Commercial,Y,774,443835,573.0
63,93722,1,2013,Gas- Commercial,Y,789,281351,357.0
64,93723,1,2013,Gas- Commercial,Y,0,0,
65,93725,1,2013,Gas- Commercial,Y,0,0,
66,93726,1,2013,Gas- Commercial,Y,1236,506028,409.0
67,93727,1,2013,Gas- Commercial,Y,1326,541438,408.0
68,93728,1,2013,Gas- Commercial,Y,447,102679,230.0
69,93730,1,2013,Gas- Commercial,Y,0,0,
70,93741,1,2013,Gas- Commercial,Y,0,0,
71,93901,1,2013,Gas- Commercial,N,948,309860,327.0
72,93905,1,2013,Gas- Commercial,Y,1351,769774,570.0
73,93906,1,2013,Gas- Commercial,Y,589,237803,404.0
74,93907,1,2013,Gas- Commercial,Y,0,0,
75,93908,1,2013,Gas- Commercial,Y,0,0,
76,93921,1,2013,Gas- Commercial,N,91,46513,511.0
77,93923,1,2013,Gas- Commercial,Y,0,0,
78,93924,1,2013,Gas- Commercial,Y,0,0,
79,93925,1,2013,Gas- Commercial,Y,0,0,
80,93926,1,2013,Gas- Commercial,Y,0,0,
81,93927,1,2013,Gas- Commercial,Y,0,0,
82,93930,1,2013,Gas- Commercial,Y,0,0,
83,93933,1,2013,Gas- Commercial,N,251,68697,274.0
84,93940,1,2013,Gas- Commercial,Y,1600,985369,616.0
85,93950,1,2013,Gas- Commercial,Y,0,0,
86,93953,1,2013,Gas- Commercial,Y,0,0,
87,93955,1,2013,Gas- Commercial,Y,0,0,
88,93960,1,2013,Gas- Commercial,Y,0,0,
89,94002,1,2013,Gas- Commercial,N,432,142485,330.0
90,94005,1,2013,Gas- Commercial,N,126,96820,768.0
91,94010,1,2013,Gas- Commercial,N,767,548820,716.0
92,94014,1,2013,Gas- Commercial,N,347,147304,425.0
93,94015,1,2013,Gas- Commercial,Y,363,330057,909.0
94,94018,1,2013,Gas- Commercial,N,54,13672,253.0
95,94019,1,2013,Gas- Commercial,N,202,71431,354.0
96,94022,1,2013,Gas- Commercial,Y,356,179372,504.0
97,94024,1,2013,Gas- Commercial,Y,0,0,
98,94025,1,2013,Gas- Commercial,Y,818,785229,960.0
99,94027,1,2013,Gas- Commercial,Y,0,0,
100,94028,1,2013,Gas- Commercial,Y,0,0,
101,94030,1,2013,Gas- Commercial,Y,0,0,
102,94038,1,2013,Gas- Commercial,Y,0,0,
103,94040,1,2013,Gas- Commercial,Y,0,0,
104,94041,1,2013,Gas- Commercial,Y,0,0,
105,94043,1,2013,Gas- Commercial,Y,1636,1458260,891.0
106,94044,1,2013,Gas- Commercial,Y,261,86318,331.0
107,94061,1,2013,Gas- Commercial,Y,409,292104,714.0
108,94062,1,2013,Gas- Commercial,Y,0,0,
109,94063,1,2013,Gas- Commercial,N,1052,561473,534.0
110,94065,1,2013,Gas- Commercial,Y,0,0,
111,94066,1,2013,Gas- Commercial,Y,649,404366,623.0
112,94070,1,2013,Gas- Commercial,N,976,312535,320.0
113,94080,1,2013,Gas- Commercial,N,968,1095375,1132.0
114,94085,1,2013,Gas- Commercial,N,405,463043,1143.0
115,94086,1,2013,Gas- Commercial,N,340,261528,769.0
116,94087,1,2013,Gas- Commercial,Y,0,0,
117,94089,1,2013,Gas- Commercial,Y,0,0,
118,94102,1,2013,Gas- Commercial,N,365,319274,875.0
119,94103,1,2013,Gas- Commercial,N,864,417461,483.0
120,94104,1,2013,Gas- Commercial,N,51,95023,1863.0
121,94105,1,2013,Gas- Commercial,N,141,266040,1887.0
